source_a,external_id_a,title_a,hazard_a,started_a,source_b,external_id_b,title_b,hazard_b,started_b,distance_km,days_apart,text_sim,name_match,glide_match,linked,key_conflict,score,rule,pipeline,merged_by,same_event,notes,labelled_by
gdacs,1001303,Tropical Cyclone LALA-26,tropical_cyclone,2026-08-12T15:00:00Z,eonet,EONET_22563,Tropical Storm Lala,tropical_cyclone,2026-08-12T18:00:00Z,20.8,0.12,0.5,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.12 days apart; tracks meet (20.8 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001305,Tropical Cyclone SAUDEL-26,tropical_cyclone,2026-08-18T12:00:00Z,eonet,EONET_22926,Typhoon Saudel,tropical_cyclone,2026-08-19T00:00:00Z,0.0,0.5,0.25,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.5 days apart; tracks meet (0.0 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001307,Tropical Cyclone NARRA-26,tropical_cyclone,2026-08-20T18:00:00Z,eonet,EONET_23207,Tropical Storm Narra,tropical_cyclone,2026-08-21T06:00:00Z,0.0,0.5,0.5,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.5 days apart; tracks meet (0.0 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001309,Tropical Cyclone ISELLE-26,tropical_cyclone,2026-08-23T15:00:00Z,eonet,EONET_23205,Tropical Storm Iselle,tropical_cyclone,2026-08-23T00:00:00Z,46.6,0.62,0.5,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.62 days apart; tracks meet (46.6 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001310,Tropical Cyclone JULIO-26,tropical_cyclone,2026-08-24T21:00:00Z,eonet,EONET_23286,Tropical Storm Julio,tropical_cyclone,2026-08-25T06:00:00Z,182.1,0.38,0.5,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.38 days apart; tracks meet (182.1 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001311,Tropical Cyclone BANG-LANG-26,tropical_cyclone,2026-08-26T06:00:00Z,eonet,EONET_23613,Tropical Storm Bang-Lang,tropical_cyclone,2026-08-27T06:00:00Z,0.0,1.0,0.6,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 1.0 days apart; tracks meet (0.0 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001312,Tropical Cyclone ETAU-26,tropical_cyclone,2026-08-27T00:00:00Z,eonet,EONET_23614,Tropical Storm Etau,tropical_cyclone,2026-08-27T00:00:00Z,0.0,0.0,0.5,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.0 days apart; tracks meet (0.0 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001314,Tropical Cyclone KARINA-26,tropical_cyclone,2026-08-27T21:00:00Z,eonet,EONET_23611,Hurricane Karina,tropical_cyclone,2026-08-27T18:00:00Z,52.4,0.12,0.25,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.12 days apart; tracks meet (52.4 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001315,Tropical Cyclone LOWELL-26,tropical_cyclone,2026-08-27T21:00:00Z,eonet,EONET_23612,Cyclone Lowell,tropical_cyclone,2026-08-27T18:00:00Z,38.9,0.12,0.667,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.12 days apart; tracks meet (38.9 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001316,Tropical Cyclone EDOUARD-26,tropical_cyclone,2026-08-31T15:00:00Z,eonet,EONET_23739,Tropical Storm Edouard,tropical_cyclone,2026-09-01T03:00:00Z,0.0,0.5,0.5,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.5 days apart; tracks meet (0.0 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001317,Tropical Cyclone MARIE-26,tropical_cyclone,2026-09-01T09:00:00Z,eonet,EONET_23800,Cyclone Marie,tropical_cyclone,2026-09-01T06:00:00Z,44.9,0.12,0.667,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.12 days apart; tracks meet (44.9 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001318,Tropical Cyclone KROVANH-26,tropical_cyclone,2026-09-01T06:00:00Z,eonet,EONET_23738,Tropical Storm Krovanh,tropical_cyclone,2026-09-01T00:00:00Z,0.0,0.25,0.5,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.25 days apart; tracks meet (0.0 km)","starter set (Claude, 2026-09-17): review and overwrite"
gdacs,1001320,Tropical Cyclone NORBERT-26,tropical_cyclone,2026-09-09T21:00:00Z,eonet,EONET_24184,Cyclone Norbert,tropical_cyclone,2026-09-10T06:00:00Z,73.8,0.38,0.667,yes,no,no,no,0.95,storm_name,merged,pipeline,yes,"same storm name in both feeds, 0.38 days apart; tracks meet (73.8 km)","starter set (Claude, 2026-09-17): review and overwrite"
